Mods count: 360
 
                                             jar name                                               |    notes     |                      mod id                      |                                   mod name                                   |         mod version         |                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                   |              modrinth hash               | curseforge hash
    /META-INF/jarjar/jcpp-1.4.14.jar                                                                |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
item_descriptions-2.8.0+1.21.1-neoforge.jar                                                         |              | item_descriptions                                | Item Descriptions                                                            | 2.8.0+1.21.1                | item_descriptions.mixins.json                                                                                                                                                                                                                                                                                                                                                                                     | fd8df1a7398539d66ecbcf406d22b8408d2d4808 | 3982344233     
    /META-INF/jarjar/kaleido-config-0.3.3+1.3.2.jar                                                 |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
Jade-1.21.1-NeoForge-15.10.6.jar                                                                    |              | jade                                             | Jade                                                                         | 15.10.6+neoforge            | jade.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                  | 88ee316e68900080b017f60c12162e2731924cf8 | 2677633875     
JadeAddons-1.21.1-NeoForge-6.1.0.jar                                                                |              | jadeaddons                                       | Jade Addons                                                                  | 6.1.0+neoforge              | jadeaddons.mixins.json                                                                                                                                                                                                                                                                                                                                                                                            | d0aef07e67f9e2dd7ae68f9f27d845511d8eaff3 | 2483268990     
jei-1.21.1-neoforge-19.44.0.403.jar                                                                 |              | jei                                              | Just Enough Items                                                            | **.**.**.**                 |                                                                                                                                                                                                                                                                                                                                                                                                                   | f027864a444572205a546c78c48b882335540eb2 | 1080911592     
jei_plus_plus-1.0.3-1.21.1.jar                                                                      |              | jei_plus_plus                                    | JEI++                                                                        | 1.0.3-1.21.1                | jei_plus_plus.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         | 22fd0b63e75c879a99d44d5e22fe5ed67abb55bd | 2928082669     
jeioptimizer-1.21.1-1.1.0-19.42.jar                                                                 |              | jeioptimizer                                     | JEIOptimizer                                                                 | 1.1.0-19.42                 | jeioptimizer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                          | a9a4e4675dddcb438707b0fcc8e9fb98d89ae721 | 2836098471     
jerintegration-6.5.0.jar                                                                            |              | jerintegration                                   | JER Integration                                                              | 6.5.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 73ed4f23473283946e739e9e5de97dae247f3a97 | 97550442       
JustEnoughBeacons-NeoForge-1.21-1.3.0.jar                                                           |              | just_enough_beacons                              | Just Enough Beacons                                                          | 1.3.0                       | just_enough_beacons-common.mixins.json, just_enough_beacons.mixins.json                                                                                                                                                                                                                                                                                                                                           | 654ccc6863fd35f6b73d43db468b72606a461df5 | 3929745938     
justenoughrecipesharing-neoforge-1.21.1-1.0.1.jar                                                   |              | justenoughrecipesharing                          | Just Enough Recipe Sharing (JERS)                                            | 1.21.1-1.0.1                | justenoughrecipesharing.mixins.json                                                                                                                                                                                                                                                                                                                                                                               | 9dc6a9ba71f81628665154c194c2d1a9088394ea | 2844506758     
JustEnoughResources-NeoForge-1.21.1-1.6.0.17.jar                                                    |              | jeresources                                      | Just Enough Resources                                                        | **.**.**.**                    |                                                                                                                                                                                                                                                                                                                                                                                                                   | e739d69b2de31ca8c0cb4691ab08e823f153bc44 | 2532757003     
justkeybinds-neoforge-1.21.1-1.0.0.jar                                                              |              | justkeybinds                                     | Just Universal Keybinds                                                      | 1.0.0                       | justkeybinds.mixins.json, justkeybinds.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                       | 2fd8779097887d5e8d12df90621b62d7b03fdf73 | 1142854340     
keybindbundles-1.3.1.jar                                                                            |              | keybindbundles                                   | KeyBind Bundles                                                              | 1.3.1                       | keybindbundles.mixins.json                                                                                                                                                                                                                                                                                                                                                                                        | f79e5ec268c784ef8eb0e3756602da7ea0ca1c3c | 3953971025     
keybindjs-2101-1.0.1.jar                                                                            |              | keybindjs                                        | KeyBindJS                                                                    | 2101-1.0.1                  | keybindjs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                             | 95218c0181dea86747943ec60b10a57bce1bfd29 | 1327153855     
Kiwi-1.21.1-NeoForge-15.8.7.jar                                                                     |              | kiwi                                             | Kiwi Library                                                                 | 15.8.7+neoforge             | kiwi.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                  | d5c1d9f814bf146459f6e5e169c744c3e5bc184e | 4262264867     
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                                          |              | fabric_api_base                                  | Forgified Fabric API Base                                                    | 0.4.42+d1308ded19           |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
kjscauto-0.8.0-beta-neoforge.jar                                                                    |              | kjscauto                                         | KubeJS Create Automation                                                     | 0.8.0-beta-neoforge         | kjscauto.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              | 8313de62ac6fb50d3728623019583d463b2a2106 | 4065556029     
konkrete_neoforge_1.9.9_MC_1.21.jar                                                                 |              | konkrete                                         | Konkrete                                                                     | 1.9.9                       | konkrete.mixins.json, konkrete.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                               | 97771eb287d5ac7fe667d1df9493d5e54c8ca1fa | 3128317181     
kotlinforforge-5.12.0-all.jar                                                                       |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   | d10d062caf1aad9aec82d7852f2fee1781735c1f | 2384807424     
    /META-INF/jarjar/thedarkcolour.kfflib-5.12.0.jar                                                |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlin-stdlib-jdk7-2.4.0.jar                                                   |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlin-stdlib-2.4.0.jar                                                        |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/thedarkcolour.kfflang-5.12.0.jar                                               |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlinx-serialization-core-jvm-1.11.0.jar                                      |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlinx-coroutines-core-jvm-1.11.0.jar                                         |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlinx-coroutines-jdk8-1.11.0.jar                                             |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlinx-serialization-json-jvm-1.11.0.jar                                      |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlin-reflect-2.4.0.jar                                                       |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/kotlin-stdlib-jdk8-2.4.0.jar                                                   |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/thedarkcolour.kffmod-5.12.0.jar                                                |              | kotlinforforge                                   | Kotlin For Forge                                                             | 5.12.0                      |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
KryptonFoxified-0.1.0+mc1.21.jar                                                                    |              | krypton                                          | KryptonFoxified                                                              | 0.1.0+mc1.21                | krypton.mixins.json                                                                                                                                                                                                                                                                                                                                                                                               | b6912442dfb47b2cbcadb4085608636fced68af9 | 1926853591     
    /META-INF/jars/velocity-native-3.3.0-SNAPSHOT.jar                                               |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
kubejei-1.0.0.jar                                                                                   |              | kubejei                                          | KubeJEI                                                                      | 1.0.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 9b8e0f55b46bf252f6cd79507e08592ca8eb33de | 1604386408     
kubejs-create-neoforge-2101.3.1-build.18.jar                                                        |              | kubejs_create                                    | KubeJS Create                                                                | 2101.3.1-build.18           | kubejs_create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         | f54d9ff53909771d27e4d9d135c3707cd5d5f855 | 1849487331     
kubejs-neoforge-2101.7.2-build.368.jar                                                              |              | kubejs                                           | KubeJS                                                                       | 2101.7.2-build.368          | kubejs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                | edf131afd474151afe076ea975ce5fec5a206ad8 | 235886233      
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar                             |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/better-advanced-tooltips-2101.1.0-build.1.jar                                  |              | betteradvancedtooltips                           | Better Advanced Tooltips                                                     | 2101.1.0-build.1            | betteradvancedtooltips.mixins.json                                                                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jarjar/tiny-java-server-1.0.0-build.33.jar                                            |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
kubejs_curios_neoforge_1.21.1-1.0.4.jar                                                             |              | kubejs_curios                                    | KubeJSCurios                                                                 | 1.0.4                       | kubejs_curios.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         | d76c4181e1436bc85f108c7191f1ed7ee374d318 | 1727905040     
kubejs_oritech-neoforge-1.21.1-0.4.4.jar                                                            |              | kubejs_oritech                                   | KubeJS Oritech                                                               | 1.21.1-0.4.4                | kubejs_oritech.mixins.json                                                                                                                                                                                                                                                                                                                                                                                        | 1c3ebb5409e11be575dc018ac9799bdf6ac54535 | 1007033281     
kubejs_rechiseled-1.0.jar                                                                           |              | kubejs_rechiseled                                | KubeJS Rechiseled                                                            | 1.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                   | 1007693efcd5f5dc57ee81e8a25156abc7509f69 | 3923431719     
kubejsstudio-neoforge-1.21.1-1.0.0-beta1.jar                                                        |              | kubejsstudio                                     | KubeJS Studio                                                                | 1.0.0-beta1                 |                                                                                                                                                                                                                                                                                                                                                                                                                   | 089ed2eb09006718a1657396803604348dfffcba | 241182946      
kubeloader-21-0.1.0-Alpha-3.jar                                                                     |              | kubeloader                                       | KubeLoader                                                                   | 21-0.1.0-Alpha-3            | kubeloader.mixins.json, kubeloader.graal.mixins.json                                                                                                                                                                                                                                                                                                                                                              | f355e6dcf7ba87b4967fb20df5f0a2d274d59928 | 836667366      
lanternlib-1.21.1-2.3.0.jar                                                                         |              | lanternlib                                       | LanternLib                                                                   | 2.3.0                       | lanternlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                            | 0dd951b65a63ae0bb407de4aab553fa32b604e04 | 4015263581     
LeaveMyBarsAlone-v21.1.2-1.21.1-NeoForge.jar                                                        |              | leavemybarsalone                                 | Leave My Bars Alone                                                          | 21.1.2                      | leavemybarsalone.neoforge.mixins.json, leavemybarsalone.common.mixins.json                                                                                                                                                                                                                                                                                                                                        | 7156b542431ea057539070c0c00feb8c9f58c099 | 249674279      
LeavesBeGone-v21.1.1-1.21.1-NeoForge.jar                                                            |              | leavesbegone                                     | Leaves Be Gone                                                               | 21.1.1                      | leavesbegone.neoforge.mixins.json, leavesbegone.common.mixins.json                                                                                                                                                                                                                                                                                                                                                | 1d8eec39ed44414af14d14c0dfb5abd097e77491 | 2126728494     
lets-do-meadow-sawmill-compat-1.0.jar                                                               |              | mr_lets_domeadowsawmillcompat                    | [Let's Do Meadow] - Sawmill Compat                                           | 1.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                   | c3034950bcb7e4d8cffe637650cb367595f6a8fd | 2688764131     
letsdo-alpinewhispers-neoforge-1.0.2.jar                                                            |              | alpinewhispers                                   | [Let's Do] Alpinewhispers                                                    | 1.0.2                       | alpinewhispers-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                               | 1dc3be55cec9920b2b6f69e453794e9fbf73ef5c | 766805798      
letsdo-beachparty-neoforge-2.1.4.jar                                                                |              | beachparty                                       | [Let's Do] Beachparty                                                        | 2.1.4                       | beachparty.mixins.json, beachparty-common.mixins.json                                                                                                                                                                                                                                                                                                                                                             | c5f5eb74017f2e3cc22120419efcd27a898ed4f3 | 347628046      
letsdo-bloomingnature-neoforge-1.1.10.jar                                                           |              | bloomingnature                                   | [Let's Do] BloomingNature                                                    | 1.1.10                      | bloomingnature.mixins.json                                                                                                                                                                                                                                                                                                                                                                                        | 4c161f19d06d5eba52f8ad212fe7fd7c1fcc2c8b | 1712790198     
letsdo-hearth_and_timber-neoforge-1.0.3.jar                                                         |              | hearth_and_timber                                | [Let's Do] Hearth & Timber                                                   | 1.0.3                       | hearthandtimber-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                              | 98116f4b15c912d57d51886f9bd7470ad7d397da | 1865249411     
letsdo-herbalbrews-neoforge-1.1.3.jar                                                               |              | herbalbrews                                      | [Let's Do] HerbalBrews                                                       | 1.1.3                       | herbalbrews-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                  | 7e91a29bdbc696dfae7af7bc47bce7a7f773a7b1 | 2189318531     
letsdo-lilis_lucky_lures-neoforge-1.1.3.jar                                                         |              | lilis_lucky_lures                                | [Let's Do] Lilis Lucky Lures                                                 | 1.1.3                       | LilisLuckyLures.mixins.json                                                                                                                                                                                                                                                                                                                                                                                       | e10609e98c57b7ed1fa77e62a8e9fc99ce4a8fac | 788647736      
letsdo-meadow-neoforge-1.4.8.jar                                                                    |              | meadow                                           | [Let's Do] Meadow                                                            | 1.4.8                       | meadow.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                | a203a4b5180a55a3c97d32acf6299579ea45ad9f | 3883942401     
letsdo-wildernature-neoforge-1.1.5.jar                                                              |              | wildernature                                     | [Let's Do] Wilder Nature                                                     | 1.1.5                       | wildernature.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                 | 5307a4edc885ab949eed4438d9d7f9cb6176421d | 984732263      
licesidcopy-1.0.0.jar                                                                               |              | licesidcopy                                      | Lice's ID Copy                                                               | 1.0.0                       | licesidcopy.mixins.json                                                                                                                                                                                                                                                                                                                                                                                           | 48b95046b069ca20870e2aa5a99b4952c42d776f | 2254377136     
lightspeed-1.21.1-1.2.3.jar                                                                         |              | lightspeed                                       | Lightspeed                                                                   | 1.21.1-1.2.3                | lightspeed.mixins.json                                                                                                                                                                                                                                                                                                                                                                                            | 1b8e908326e9777d0c9865834dc357a8354f367c | 2529228324     
lithium-neoforge-0.15.4+mc1.21.1.jar                                                                |              | lithium                                          | Lithium                                                                      | 0.15.4+mc1.21.1             | lithium.mixins.json, lithium-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                 | 97212e45c963730bbfc7c44780df99317814c21b | 557102447      
lithostitched-1.8.0+beta4-neoforge-21.1.jar                                                         |              | lithostitched                                    | Lithostitched                                                                | 1.8.0+beta4                 | lithostitched.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         | 0edda78ec8500143cca898881c476b2b04dac75a | 1189471198     
    /META-INF/jarjar/apollib-1.2.0-neoforge-21.1.jar                                                |              | apollib                                          | Apollib                                                                      | 1.2.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
